farm_id,brix,size,area,is_wifi,is_power,slope,maintenance,mulching,umbrella,spring_cooler,drip_hose,frost_fan,windscreent,week,temp_average,humi_average,press_average
aab,10.93,44.66,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,9.5,45.76,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,9.8,42.12,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,9.67,42.17,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,9.5,44.21,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,10.83,48.66,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,10.1,44.84,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,11,43.54,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,12.03,47.92,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,10.6,43.28,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,10.17,44.7,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,10.47,44.53,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,12.07,44.26,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,12.47,48.86,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,11.4,42.91,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,11.23,48.12,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,10.63,44.92,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,11.1,43.05,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,11.97,44.5,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,12.23,48.15,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,12.8,41.26,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,11.47,45.04,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,9.4,46.6,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,9.87,40.84,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,9.93,41.4,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,9.63,44.55,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,11.13,42.77,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,11.37,46.99,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,12,48.42,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,11.73,48.45,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,9.3,47.67,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,10.63,48.22,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,10.47,41.25,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,11.33,42.74,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,12.5,44.81,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,11.97,45.57,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,12.47,41.85,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,11.43,44.52,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,12.33,47.97,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,9.77,41.48,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,9.67,42.72,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,10.03,43.57,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,9.83,44.14,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,10.2,40.72,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,10.5,41.51,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,9.27,43.18,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,9.33,47.57,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,9.9,48.07,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,9.53,44.33,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,9.27,44.64,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,9.03,46.34,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,10.93,43.37,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,10.8,47.33,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,10.8,45.28,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,12.03,46.32,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,12,43.75,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,12.73,43.92,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,11.07,44.11,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,11.6,45.66,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,12.2,40.25,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,10.67,41.04,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,10.67,43.16,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
aab,10.5,47.24,2500,Y,Y,0,Y,Y,Y,Y,Y,Y,Y,11-03,13.625,51.375,7.65
