"","code","year","month","day","type","acid","phosphate","OM","Mg","K","Ca","EC","jibun","sido","sigungu","addr_1","addr_2","dong","li","ymd","ym","cnt"
"56","5011025021","2020","08","24","4",7.1,771,39,6.2,1.51,8.3,0.8,"제주특별자치도 제주시 한림읍 귀덕리 887","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_귀덕리","한림읍","귀덕리",2020-08-24,2020-01-01,1
"57","5011025021","2020","08","24","4",7.1,771,39,6.2,1.51,8.3,0.8,"제주특별자치도 제주시 한림읍 귀덕리 887","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_귀덕리","한림읍","귀덕리",2020-08-24,2020-01-01,1
"92","5011025021","2020","02","28","4",6.8,1367,105,3,2.41,11.6,2.5,"제주특별자치도 제주시 한림읍 귀덕리 286","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_귀덕리","한림읍","귀덕리",2020-02-28,2020-01-01,1
"93","5011025021","2020","11","13","4",5.7,142,33,3,0.39,2.3,0.1,"제주특별자치도 제주시 한림읍 귀덕리 2635-1","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_귀덕리","한림읍","귀덕리",2020-11-13,2020-01-01,1
"155","5011025021","2021","01","22","4",7.1,1060,78,1.3,1.46,18.4,1.7,"제주특별자치도 제주시 한림읍 귀덕리 286","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_귀덕리","한림읍","귀덕리",2021-01-22,2021-01-01,1
"156","5011025021","2021","01","22","4",7,386,41,0.9,0.44,7.7,1.6,"제주특별자치도 제주시 한림읍 귀덕리 269-1","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_귀덕리","한림읍","귀덕리",2021-01-22,2021-01-01,1
"194","5011025021","2022","11","15","4",5.8,77,20,1.8,0.17,2.9,0.15,"제주특별자치도 제주시 한림읍 귀덕리 2635-1","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_귀덕리","한림읍","귀덕리",2022-11-15,2022-01-01,1
"273","5011025023","2020","12","31","4",6.3,733,35,1.6,0.62,5.1,0.2,"제주특별자치도 제주시 한림읍 대림리 452-1","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_대림리","한림읍","대림리",2020-12-31,2020-01-01,1
"280","5011025023","2020","02","13","4",6.2,1331,141,4,0.91,9.9,0.8,"제주특별자치도 제주시 한림읍 대림리 731","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_대림리","한림읍","대림리",2020-02-13,2020-01-01,1
"281","5011025023","2020","03","25","4",7.1,227,26,2.9,0.74,6.2,0.4,"제주특별자치도 제주시 한림읍 대림리 1557","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_대림리","한림읍","대림리",2020-03-25,2020-01-01,1
"282","5011025023","2020","03","25","4",7.5,258,26,3.9,0.7,9,0.4,"제주특별자치도 제주시 한림읍 대림리 1538","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_대림리","한림읍","대림리",2020-03-25,2020-01-01,1
"283","5011025023","2020","03","25","4",7.8,404,30,3.3,1.08,7.9,0.6,"제주특별자치도 제주시 한림읍 대림리 1537","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_대림리","한림읍","대림리",2020-03-25,2020-01-01,1
"398","5011025023","2020","02","13","4",6.2,1331,141,4,0.91,9.9,0.8,"제주특별자치도 제주시 한림읍 대림리 731","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_대림리","한림읍","대림리",2020-02-13,2020-01-01,1
"399","5011025023","2020","07","16","4",6.2,932,23,1.8,1.54,3.9,0.7,"제주특별자치도 제주시 한림읍 대림리 586","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_대림리","한림읍","대림리",2020-07-16,2020-01-01,1
"400","5011025023","2020","07","31","4",7.3,46,36,1.6,0.51,7,0.3,"제주특별자치도 제주시 한림읍 대림리 33","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_대림리","한림읍","대림리",2020-07-31,2020-01-01,1
"401","5011025023","2020","07","31","4",7.2,44,19,2.7,0.36,4.2,0.3,"제주특별자치도 제주시 한림읍 대림리 759","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_대림리","한림읍","대림리",2020-07-31,2020-01-01,1
"507","5011025023","2021","02","08","4",5.6,783,66,1.2,1.91,1.8,0.7,"제주특별자치도 제주시 한림읍 대림리 1370-1","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_대림리","한림읍","대림리",2021-02-08,2021-01-01,1
"508","5011025023","2021","11","26","4",5.8,517,34,2.4,0.96,3.2,1.52,"제주특별자치도 제주시 한림읍 대림리 147-1","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_대림리","한림읍","대림리",2021-11-26,2021-01-01,1
"663","5011025023","2022","01","11","4",5.8,601,40,1.8,1.18,9.6,1.31,"제주특별자치도 제주시 한림읍 대림리 731","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_대림리","한림읍","대림리",2022-01-11,2022-01-01,1
"664","5011025023","2022","06","16","4",6.8,1341,68,5.8,1.19,8.8,1.03,"제주특별자치도 제주시 한림읍 대림리 1342","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_대림리","한림읍","대림리",2022-06-16,2022-01-01,1
"665","5011025023","2022","10","06","4",6.9,598,37,1.9,0.79,7.9,0.68,"제주특별자치도 제주시 한림읍 대림리 149-1","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_대림리","한림읍","대림리",2022-10-06,2022-01-01,1
"675","5011025024","2020","10","21","4",4.5,935,97,2.7,2.63,12.3,3.6,"제주특별자치도 제주시 한림읍 한림리 4-1","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_한림리","한림읍","한림리",2020-10-21,2020-01-01,1
