"","farm_id","type","month","count"
"1","aab","pruning",4,1
"2","aab","fertilization",4,1
"3","aab","fertilization",10,1
"4","aab","pest_control",6,1
"5","aab","mulching",6,1
"6","aab","thinning",9,1
"7","bab","pruning",2,1
"8","bab","mulching",6,1
"9","bbb","pruning",3,1
"10","bbb","fertilization",3,1
"11","bbb","fertilization",4,1
"12","bbb","fertilization",5,3
"13","bbb","fertilization",6,4
"14","bbb","fertilization",7,4
"15","bbb","fertilization",8,1
"16","bbb","fertilization",9,1
"17","bbb","pest_control",4,2
"18","bbb","pest_control",5,1
"19","bbb","pest_control",9,1
"20","bbb","pest_control",10,1
"21","bbb","mulching",6,1
"22","cab","pruning",2,1
"23","cab","fertilization",2,1
"24","cab","fertilization",3,1
"25","cab","fertilization",6,1
"26","cab","pest_control",9,1
"27","cab","mulching",6,1
"28","cab","thinning",7,1
"29","cbb","pruning",3,1
"30","cbb","fertilization",4,1
"31","cbb","pest_control",4,1
"32","cbb","mulching",6,1
"33","cbb","thinning",7,1
"34","dab","fertilization",2,1
"35","dab","pest_control",9,1
"36","dab","mulching",6,1
"37","dab","thinning",8,1
"38","dbb","pruning",3,1
"39","dbb","fertilization",3,1
"40","dbb","fertilization",5,1
"41","dbb","pest_control",9,1
"42","dbb","mulching",7,1
"43","dbb","thinning",6,1
"44","eab","pruning",3,1
"45","eab","fertilization",3,1
"46","eab","fertilization",5,1
"47","eab","pest_control",4,1
"48","eab","mulching",6,1
"49","eab","thinning",6,1
"50","fab","pruning",3,1
"51","fab","fertilization",1,2
"52","fab","fertilization",2,3
"53","fab","fertilization",3,3
"54","fab","pest_control",4,1
"55","fab","pest_control",5,2
"56","fab","pest_control",6,2
"57","fab","pest_control",7,2
"58","fab","pest_control",8,3
"59","fab","mulching",7,1
"60","fab","thinning",7,2
"61","fab","thinning",8,7
"62","gab","fertilization",3,1
"63","gab","pest_control",3,1
"64","gab","pest_control",4,1
"65","gab","pest_control",5,2
"66","gab","pest_control",6,1
"67","gab","pest_control",7,2
"68","gab","pest_control",8,2
"69","gab","pest_control",9,3
"70","gab","mulching",6,1
"71","gab","thinning",4,1
"72","hab","pruning",3,1
"73","hab","fertilization",3,1
"74","hab","fertilization",5,1
"75","hab","pest_control",4,1
"76","hab","mulching",5,1
"77","hab","thinning",7,1
"78","iab","pruning",3,1
"79","iab","fertilization",5,1
"80","iab","fertilization",8,1
"81","iab","pest_control",5,1
"82","iab","mulching",6,1
"83","iab","thinning",9,1
"84","jab","pruning",3,1
"85","jab","fertilization",3,1
"86","jab","pest_control",5,1
"87","jab","mulching",6,1
"88","kab","pruning",5,1
"89","kab","fertilization",4,1
"90","kab","pest_control",5,1
"91","kab","mulching",6,1
"92","kab","thinning",5,1
"93","lab","pruning",3,1
"94","lab","fertilization",3,1
"95","lab","pest_control",5,1
"96","lab","mulching",6,1
"97","lab","thinning",5,1
"98","mab","pruning",4,1
"99","mab","fertilization",3,1
"100","mab","fertilization",5,1
"101","mab","pest_control",4,1
"102","mab","pest_control",5,1
"103","mab","pest_control",6,1
"104","mab","pest_control",7,2
"105","mab","pest_control",8,2
"106","mab","mulching",6,1
"107","mab","thinning",7,1
"108","nab","pruning",3,1
"109","nab","fertilization",3,1
"110","nab","pest_control",5,1
"111","nab","mulching",6,1
"112","nab","thinning",7,1
"113","oab","pruning",3,1
"114","oab","fertilization",3,1
"115","oab","fertilization",4,2
"116","oab","fertilization",5,1
"117","oab","fertilization",6,1
"118","oab","fertilization",7,1
"119","oab","pest_control",4,1
"120","oab","pest_control",5,2
"121","oab","pest_control",6,2
"122","oab","pest_control",7,2
"123","oab","pest_control",8,3
"124","oab","mulching",6,2
"125","qab","pruning",3,1
"126","qab","mulching",6,1
"127","qab","thinning",7,1
"128","rab","pruning",3,1
"129","rab","fertilization",3,1
"130","rab","fertilization",4,1
"131","rab","pest_control",4,1
"132","rab","pest_control",5,3
"133","rab","pest_control",6,2
"134","rab","pest_control",7,2
"135","rab","pest_control",8,1
"136","rab","pest_control",9,1
"137","rab","mulching",6,1
"138","sab","pruning",3,1
"139","sab","fertilization",4,2
"140","sab","fertilization",6,1
"141","sab","pest_control",4,1
"142","sab","mulching",6,1
"143","sab","mulching",7,1
"144","sab","thinning",7,1
"145","tab","pruning",3,1
"146","tab","fertilization",3,1
"147","tab","pest_control",5,1
"148","tab","pest_control",6,1
"149","tab","mulching",6,1
"150","tab","thinning",7,1
"151","uab","pruning",3,1
"152","uab","fertilization",4,1
"153","uab","pest_control",5,1
"154","uab","mulching",7,1
"155","uab","thinning",8,1
"156","vab","pruning",4,1
"157","vab","fertilization",3,1
"158","vab","fertilization",4,2
"159","vab","fertilization",5,2
"160","vab","fertilization",6,1
"161","vab","pest_control",5,3
"162","vab","pest_control",6,2
"163","vab","pest_control",7,2
"164","vab","pest_control",8,2
"165","vab","pest_control",9,1
"166","vab","mulching",6,1
"167","vab","thinning",9,1
"168","wab","pruning",3,2
"169","wab","fertilization",4,1
"170","wab","pest_control",4,1
"171","wab","mulching",8,1
"172","xab","pruning",3,1
"173","xab","fertilization",3,1
"174","xab","pest_control",6,1
"175","xab","mulching",6,1
"176","xab","thinning",7,1
"177","yab","pruning",2,1
"178","yab","fertilization",3,1
"179","yab","pest_control",5,1
"180","yab","mulching",5,1
"181","zab","pruning",4,1
"182","zab","fertilization",4,1
"183","zab","pest_control",4,1
"184","zab","mulching",8,1
