no,farm_id,name,si,dong,address,latitude,longitude,area,is_wifi,is_power,research_year,slope,maintenance,cultivar,mulching,umbrella,spring_cooler,drip_hose,frost_fan,windscreent
1,aab,남원농가,서귀포시,남원읍,제주특별자치도 서귀포시 남원읍 신흥리 841-1,33.301765,126.751244,2500,Y,Y,2021,0,Y,궁천,Y,Y,Y,Y,Y,Y
2,bab,귤낭밭농원,제주시,화북동,제주특별자치도 제주시 화북이동 5489-2,33.322098,126.755608,3200,Y,Y,2021,0,Y,궁천 ,Y,Y,Y,Y,Y,Y
3,cab,봉아름농장,제주시,회천동,제주특별자치도 제주시 회천동 2684,33.494034,126.554565,7800,N,Y,2021,0,Y,"궁천, 흥진",Y,Y,Y,Y,Y,Y
4,dab,규리네농원,제주시,조천읍,제주특별자치도 제주시 조천읍 신촌리 216,33.515385,126.605324,3000,N,Y,2021,0,Y,궁천,Y,Y,Y,Y,Y,Y
5,eab,대포동농가,서귀포시,대포동,제주특별자치도 서귀포시 대포동 270,33.354404,126.853226,3200,N,Y,2021,2,Y,유라,Y,Y,Y,Y,Y,N
6,fab,망골과수원,서귀포시,하원동,제주특별자치도 서귀포시 하원동 1286-1,33.504074,126.598412,965,N,Y,2021,2,Y,궁천,Y,Y,Y,Y,Y,N
7,gab,신촌농가,서귀포시,하예동,제주특별자치도 서귀포시 하예동 1029-1,33.513592,126.631851,1540,N,Y,2021,0,Y,궁천,Y,Y,Y,Y,Y,Y
8,hab,산들파머,서귀포시,남원읍,제주특별자치도 서귀포시 남원읍 신흥리 519,33.278969,126.367989,2350,N,Y,2021,0,Y,궁천,Y,Y,Y,Y,Y,Y
9,iab,봉봉팜스,제주시,조천읍,제주특별자치도 제주시 조천읍 대흘리 2778-4,33.325153,126.7435,426000,Y,Y,2021,0,Y,궁천,Y,Y,N,Y,Y,N
10,jab,안덕면농가,서귀포시,안덕면,제주특별자치도 서귀포시 안덕면 덕수리 2716,33.271568,126.614944,3400,N,Y,2021,2,Y,일남일호,Y,Y,N,Y,Y,Y
11,kab,부부농장,서귀포시,성산읍,제주특별자치도 서귀포시 성산읍 신천리 657-1,33.334724,126.826057,3600,N,Y,2021,0,Y,궁천,Y,Y,N,Y,Y,Y
12,lab,상효농가,서귀포시,신효동,제주특별자치도 서귀포시 신효동 275-1,33.278427,126.615036,787,N,Y,2021,1,Y,"궁천,극조생",Y,Y,Y,Y,Y,N
13,mab,무기명농가,서귀포시,대포동,제주특별자치도 서귀포시 대포동 1045-1,33.267723,126.448456,2900,Y,Y,2021,0,Y,궁천,Y,Y,Y,Y,N,N
