,code,year,month,day,type,acid,phosphate,OM,Mg,K,Ca,EC,ymd,cnt,longitude,latitude
1,5011025021,2020,12,31,2,6.3,655,63,3.1,1.02,5.1,0.2,12/31/2020,1,126.2976629,33.42056702
2,5011025021,2020,12,31,2,4.9,1371,50,1.3,0.97,1,0.9,12/31/2020,1,126.2959648,33.43246503
3,5011025021,2020,12,31,2,6.1,963,59,3.4,1.67,4.8,1.2,12/31/2020,1,126.2960769,33.43163035
4,5011025021,2020,12,31,2,5.4,1084,59,1.3,1.19,1.3,1.7,12/31/2020,1,126.2967703,33.42921406
5,5011025021,2020,12,31,2,6.2,1350,52,2.5,1.23,4.7,1,12/31/2020,1,126.2950849,33.44469267
6,5011025021,2020,12,31,2,8.2,819,50,2.3,1.49,9.7,0.4,12/31/2020,1,126.2945002,33.43759494
7,5011025021,2020,12,31,2,5.8,1291,56,2.5,1.1,2.6,0.9,12/31/2020,1,126.293764,33.43726618
8,5011025021,2020,12,31,2,6.4,2108,76,4,2.48,5.5,2,12/31/2020,1,126.2871782,33.42726903
9,5011025021,2020,12,31,2,5.9,1369,16,2,1.75,3.2,0.2,12/31/2020,1,126.2884412,33.43780511
10,5011025021,2020,12,31,2,6.8,1356,25,2.4,3.37,2.2,3.3,12/31/2020,1,126.2888627,33.43697401
11,5011025021,2020,3,31,2,6.4,1400,50,4.5,5.15,25.2,1.7,3/31/2020,1,126.3027751,33.42481359
12,5011025021,2020,5,28,2,7.2,1512,34,1.8,1.33,12.5,0.9,5/28/2020,1,126.2964309,33.44285738
13,5011025021,2020,6,22,2,5.4,1083,35,3.2,2.22,7.1,3.1,6/22/2020,1,126.2979477,33.44287355
14,5011025021,2020,6,22,2,5.8,1019,32,4.3,2.19,8.8,2.5,6/22/2020,1,126.2977233,33.44282567
15,5011025021,2020,6,22,2,6.6,961,33,3.3,1.55,11.9,0.4,6/22/2020,1,126.2984258,33.44294432
16,5011025021,2020,6,22,2,5.4,1083,35,3.2,2.22,7.1,3.1,6/22/2020,1,126.2979477,33.44287355
17,5011025021,2020,6,22,2,5.8,1019,32,4.3,2.19,8.8,2.5,6/22/2020,1,126.2977233,33.44282567
18,5011025021,2020,6,22,2,6.6,961,33,3.3,1.55,11.9,0.4,6/22/2020,1,126.2984258,33.44294432
19,5011025021,2020,9,8,2,5.8,495,154,1.8,1.77,8.4,0.6,9/8/2020,1,126.2905647,33.41550397
20,5011025021,2020,9,8,2,6.8,587,152,3.4,2.16,13.7,0.6,9/8/2020,1,126.3012652,33.41828606
21,5011025021,2020,10,8,2,7.2,772,49,1.1,1.57,11.4,0.7,10/8/2020,1,126.3027751,33.42481359
