position_id,citrus_id,farm_id,position,brix,size,researched_month,researched_week,researched_at,tag_no
1,1,bab,high,10.57,66.73,10,3,2021-10-15,1
2,1,bab,middle,10.37,64.47,10,3,2021-10-15,1
3,1,bab,low,10.63,65.02,10,3,2021-10-15,1
4,2,bab,high,10.03,72.26,10,3,2021-10-15,2
5,2,bab,middle,10.17,73.29,10,3,2021-10-15,2
6,2,bab,low,9.93,65.09,10,3,2021-10-15,2
7,3,bab,high,9.33,71.35,10,3,2021-10-15,3
8,3,bab,middle,9.33,64.2,10,3,2021-10-15,3
9,3,bab,low,8.93,60.27,10,3,2021-10-15,3
10,4,bab,high,10.2,73.68,10,3,2021-10-15,4
11,4,bab,middle,10.43,59.58,10,3,2021-10-15,4
12,4,bab,low,10.27,70.6,10,3,2021-10-15,4
13,5,bab,high,10.07,69.78,10,3,2021-10-15,5
14,5,bab,middle,10.33,71.69,10,3,2021-10-15,5
15,5,bab,low,9.8,67.68,10,3,2021-10-15,5
16,6,bab,high,10.23,76.6,10,3,2021-10-15,6
17,6,bab,middle,11.77,65.49,10,3,2021-10-15,6
18,6,bab,low,10.63,70.9,10,3,2021-10-15,6
19,7,bab,high,9.87,57.76,10,3,2021-10-15,7
20,7,bab,middle,10.43,61.95,10,3,2021-10-15,7
21,7,bab,low,10.73,57.77,10,3,2021-10-15,7
22,8,bab,high,9.63,68.26,10,3,2021-10-15,8
23,8,bab,middle,9.57,66.87,10,3,2021-10-15,8
24,8,bab,low,9.8,66.27,10,3,2021-10-15,8
25,9,bab,high,9.83,68.7,10,3,2021-10-15,9
26,9,bab,middle,9.8,69.45,10,3,2021-10-15,9
27,9,bab,low,9.2,65.2,10,3,2021-10-15,9
28,10,bab,high,9.97,72.55,10,3,2021-10-15,10
29,10,bab,middle,11.13,68.41,10,3,2021-10-15,10
30,10,bab,low,10.93,74.41,10,3,2021-10-15,10
31,11,bab,high,9.53,64.57,10,3,2021-10-15,11
32,11,bab,middle,9.73,68.94,10,3,2021-10-15,11
33,11,bab,low,10.33,71.89,10,3,2021-10-15,11
34,12,bab,high,8.9,68.36,10,3,2021-10-15,12
35,12,bab,middle,8.7,60.61,10,3,2021-10-15,12
36,12,bab,low,9.73,72.85,10,3,2021-10-15,12
37,13,bab,high,9.4,61.38,10,3,2021-10-15,13
38,13,bab,middle,9.53,68.61,10,3,2021-10-15,13
39,13,bab,low,9.37,76.35,10,3,2021-10-15,13
40,14,bab,high,9.93,62.24,10,3,2021-10-15,14
41,14,bab,middle,9.7,76.32,10,3,2021-10-15,14
42,14,bab,low,9,71.51,10,3,2021-10-15,14
43,15,bab,high,9.47,74.81,10,3,2021-10-15,15
44,15,bab,middle,8.9,65.33,10,3,2021-10-15,15
45,15,bab,low,9.63,66.48,10,3,2021-10-15,15
46,16,bab,high,9.3,58.67,10,3,2021-10-15,16
47,16,bab,middle,9.5,64.61,10,3,2021-10-15,16
48,16,bab,low,9.67,68.53,10,3,2021-10-15,16
49,17,bab,high,9.4,63.78,10,3,2021-10-15,17
50,17,bab,middle,9.33,68.92,10,3,2021-10-15,17
51,17,bab,low,10.3,67.2,10,3,2021-10-15,17
52,18,bab,high,10.8,66.16,10,3,2021-10-15,18
53,18,bab,middle,11.17,62.89,10,3,2021-10-15,18
54,18,bab,low,10.87,58.9,10,3,2021-10-15,18
55,19,bab,high,11,60.86,10,3,2021-10-15,19
56,19,bab,middle,10.67,69.97,10,3,2021-10-15,19
57,19,bab,low,10.43,62.51,10,3,2021-10-15,19
58,20,bab,high,11.17,59.84,10,3,2021-10-15,20
59,20,bab,middle,11.23,59.16,10,3,2021-10-15,20
60,20,bab,low,11.23,64.17,10,3,2021-10-15,20
61,21,bab,high,9.1,68.06,10,3,2021-10-15,21
62,21,bab,middle,10.83,71.11,10,3,2021-10-15,21
63,21,bab,low,10.87,70.6,10,3,2021-10-15,21
64,22,bab,high,9.93,74.5,10,3,2021-10-15,22
65,22,bab,middle,10.87,59.91,10,3,2021-10-15,22
66,22,bab,low,10.3,70.37,10,3,2021-10-15,22
67,23,bab,high,10.13,69.39,10,3,2021-10-15,23
68,23,bab,middle,10.1,68.54,10,3,2021-10-15,23
69,23,bab,low,10,71.08,10,3,2021-10-15,23
70,24,bab,high,10.53,64.26,10,3,2021-10-15,24
71,24,bab,middle,11.27,63.73,10,3,2021-10-15,24
72,24,bab,low,10.73,72.55,10,3,2021-10-15,24
73,25,bab,high,9.9,69.44,10,3,2021-10-15,25
74,25,bab,middle,11.03,70.58,10,3,2021-10-15,25
75,25,bab,low,10.97,76.33,10,3,2021-10-15,25
76,26,bab,high,10.47,67.38,10,3,2021-10-15,26
77,26,bab,middle,11.1,67.89,10,3,2021-10-15,26
78,26,bab,low,10.8,61.43,10,3,2021-10-15,26
79,27,bab,high,10.5,71.7,10,3,2021-10-15,27
80,27,bab,middle,10.23,63.89,10,3,2021-10-15,27
81,27,bab,low,9.8,62.53,10,3,2021-10-15,27
82,28,bab,high,10.13,73.05,10,3,2021-10-15,28
83,28,bab,middle,10.67,74.15,10,3,2021-10-15,28
84,28,bab,low,10.03,58.84,10,3,2021-10-15,28
85,29,bab,high,10,72.97,10,3,2021-10-15,29
86,29,bab,middle,10.07,61.61,10,3,2021-10-15,29
87,29,bab,low,10.47,65.09,10,3,2021-10-15,29
88,30,bab,high,11.87,61.74,10,3,2021-10-15,30
89,30,bab,middle,11.43,63.68,10,3,2021-10-15,30
90,30,bab,low,11.5,65.71,10,3,2021-10-15,30
91,31,bab,high,12.1,62.69,10,3,2021-10-15,31
92,31,bab,middle,10.9,59.46,10,3,2021-10-15,31
93,31,bab,low,12.13,68.7,10,3,2021-10-15,31
94,32,bab,high,9.23,61.71,10,3,2021-10-15,32
95,32,bab,middle,9.27,65.1,10,3,2021-10-15,32
96,32,bab,low,9.73,66.81,10,3,2021-10-15,32
97,33,bab,high,9.97,67.28,10,3,2021-10-15,33
98,33,bab,middle,10.07,61.55,10,3,2021-10-15,33
99,33,bab,low,9.67,74.38,10,3,2021-10-15,33
100,34,bab,high,9.27,70.12,10,3,2021-10-15,34
101,34,bab,middle,9.07,58.94,10,3,2021-10-15,34
102,34,bab,low,9.57,72.03,10,3,2021-10-15,34
103,35,bab,high,10.5,62.83,10,3,2021-10-15,35
104,35,bab,middle,9.17,75.56,10,3,2021-10-15,35
105,35,bab,low,9.13,69.03,10,3,2021-10-15,35
106,36,bab,high,9.97,66.64,10,3,2021-10-15,36
107,36,bab,middle,9.83,64.6,10,3,2021-10-15,36
108,36,bab,low,10.43,72.27,10,3,2021-10-15,36
109,37,bab,high,8.17,58.75,10,3,2021-10-15,37
110,37,bab,middle,8.13,59.21,10,3,2021-10-15,37
111,37,bab,low,8.43,71.75,10,3,2021-10-15,37
112,38,bab,high,7.1,73.35,10,3,2021-10-15,38
113,38,bab,middle,11.6,75.41,10,3,2021-10-15,38
114,38,bab,low,9.1,66.88,10,3,2021-10-15,38
115,39,bab,high,8.87,61.66,10,3,2021-10-15,39
116,39,bab,middle,8.23,70.18,10,3,2021-10-15,39
117,39,bab,low,8.5,73.73,10,3,2021-10-15,39
118,40,bab,high,7.9,76.54,10,3,2021-10-15,40
119,40,bab,middle,7.5,74.79,10,3,2021-10-15,40
120,40,bab,low,9.27,67.58,10,3,2021-10-15,40
121,41,bab,high,8.5,62.67,10,3,2021-10-15,41
122,41,bab,middle,8.37,69.72,10,3,2021-10-15,41
